1.9 6.3095734448e-08 5000 4984 1706 1425
1.9 7.94328234724e-08 4000 3975 1340 1146
1.9 8e-07 5000 4980 1647 1388
2 1.25892541179e-07 5000 4970 1701 1404
2 1.58489319246e-07 5000 4981 1636 1378
2 1.99526231497e-07 5000 4973 1669 1403
2 1.99526231497e-08 5000 4974 1618 1373
2 1e-06 4000 3985 1341 1136
2 1e-07 4000 3984 1299 1072
2 1e-08 5000 4981 1622 1346
2 2.51188643151e-07 5000 4980 1633 1385
2 2.51188643151e-08 5000 4977 1674 1391
2 3.16227766017e-08 5000 4984 1644 1355
2 3.98107170553e-08 5000 4978 1654 1404
2 5.01187233627e-08 5000 4973 1648 1378
2 5e-07 4000 3987 1320 1117
2 5e-08 5000 4983 1591 1334
2 5e-09 3000 2984 963 804
2 6.3095734448e-08 5000 4977 1653 1365
2 7.94328234724e-08 5000 4978 1674 1374
2.1 1.25892541179e-07 5000 4976 1670 1389
2.1 1.58489319246e-07 5000 4980 1619 1343
2.1 1.5e-07 5000 4983 1632 1318
2.1 1.99526231497e-07 5000 4982 1581 1283
2.1 1e-07 5000 4983 1611 1339
2.1 2.4e-08 5000 4978 1581 1300
2.1 2.6e-08 5000 4984 1618 1350
2.1 2e-07 5000 4990 1631 1351
2.1 3.5e-08 5000 4982 1646 1347
2.1 3.98107170553e-08 5000 4979 1645 1341
2.1 3e-07 5000 4977 1626 1353
2.1 3e-08 5000 4979 1619 1326
2.1 4e-07 5000 4984 1637 1340
2.1 5.01187233627e-08 5000 4976 1645 1363
2.1 6.3095734448e-08 5000 4979 1621 1338
2.1 7.94328234724e-08 5000 4981 1614 1326
2.2 1.25892541179e-07 5000 4978 1655 1336
2.2 1.58489319246e-07 5000 4977 1584 1273
2.2 1.5e-07 5000 4982 1618 1310
2.2 1.99526231497e-07 5000 4980 1622 1311
2.2 2.4e-08 5000 4974 1597 1325
2.2 2.6e-08 5000 4980 1558 1273
2.2 2e-07 5000 4979 1619 1329
2.2 3.5e-08 4500 4482 1446 1189
2.2 3.98107170553e-08 5000 4973 1663 1356
2.2 3e-07 5000 4973 1659 1366
2.2 3e-08 5000 4982 1621 1316
2.2 4e-07 4500 4482 1494 1220
2.2 5.01187233627e-08 5000 4980 1615 1321
2.2 6.3095734448e-08 5000 4980 1612 1331
2.2 7.94328234724e-08 5000 4978 1592 1308
2.3 1.25892541179e-07 5000 4982 1597 1285
2.3 1.5e-07 5000 4981 1539 1221
2.3 1e-07 5000 4981 1608 1296
2.3 2.4e-08 5000 4990 1573 1261
2.3 2.6e-08 5000 4973 1610 1322
2.3 2e-07 5000 4977 1596 1294
2.3 3.5e-08 5000 4979 1618 1310
2.3 3.98107170553e-08 4000 3987 1218 981
2.3 3e-07 5000 4972 1554 1265
2.3 3e-08 5000 4973 1573 1261
2.3 4e-07 5000 4983 1544 1246
2.3 5.01187233627e-08 5000 4976 1626 1282
2.3 6.3095734448e-08 5000 4982 1614 1309
2.3 7.94328234724e-08 5000 4986 1570 1271
2.4 1.25892541179e-07 5000 4979 1625 1282
2.4 1.5e-07 4500 4483 1449 1155
2.4 1e-07 5000 4984 1573 1265
2.4 2.4e-08 5000 4981 1623 1286
2.4 2.6e-08 5000 4983 1696 1378
2.4 2e-07 5000 4980 1601 1302
2.4 3.5e-08 5000 4979 1593 1262
2.4 3.98107170553e-08 4000 3981 1320 1038
2.4 3e-07 5000 4970 1547 1226
2.4 3e-08 5000 4981 1576 1260
2.4 4e-07 4500 4480 1408 1158
2.4 5.01187233627e-08 5000 4974 1559 1254
2.4 6.3095734448e-08 4000 3981 1262 1025
2.4 7.94328234724e-08 5000 4979 1589 1284
2.5 1.25892541179e-07 5000 4980 1559 1220
2.5 1.5e-07 5000 4980 1643 1294
2.5 1e-07 5000 4986 1604 1271
2.5 2.4e-08 5000 4985 1567 1253
2.5 2.6e-08 5000 4972 1591 1242
2.5 2e-07 4500 4486 1424 1110
2.5 3.5e-08 5000 4986 1531 1197
2.5 3.98107170553e-08 5000 4981 1527 1204
2.5 3e-07 5000 4987 1605 1272
2.5 3e-08 5000 4982 1555 1211
2.5 4e-07 5000 4983 1555 1270
2.5 5.01187233627e-08 5000 4987 1539 1216
2.5 6.3095734448e-08 5000 4981 1512 1215
2.5 7.94328234724e-08 5000 4983 1595 1273
2.6 1.25892541179e-07 5000 4983 1529 1234
2.6 1.5e-07 5000 4979 1554 1235
2.6 1e-07 5000 4980 1583 1272
2.6 2.4e-08 5000 4981 1539 1218
2.6 2.6e-08 5000 4982 1498 1176
2.6 2e-07 5000 4976 1549 1247
2.6 3.5e-08 5000 4982 1559 1210
2.6 3.98107170553e-08 5000 4972 1538 1221
2.6 3e-07 5000 4975 1612 1253
2.6 3e-08 5000 4984 1569 1252
2.6 4e-07 5000 4978 1534 1185
2.6 5.01187233627e-08 5000 4985 1545 1205
2.6 6.3095734448e-08 5000 4974 1599 1266
2.6 7.94328234724e-08 5000 4983 1568 1246
2.7 1.5e-07 5000 4981 1554 1202
2.7 1e-07 5000 4984 1529 1203
2.7 2.4e-08 5000 4978 1579 1247
2.7 2.6e-08 5000 4983 1572 1205
2.7 2e-07 5000 4973 1596 1264
2.7 3.5e-08 5000 4985 1512 1173
2.7 3.98107170553e-08 5000 4985 1544 1185
2.7 3e-07 5000 4981 1546 1208
2.7 3e-08 5000 4979 1534 1214
2.7 4e-07 4500 4490 1402 1102
2.7 5.01187233627e-08 5000 4981 1545 1202
2.7 6.3095734448e-08 5000 4987 1562 1209
2.7 7.94328234724e-08 5000 4979 1559 1209
2.8 1.25892541179e-07 4441 4428 1372 1060
2.8 1.5e-07 5000 4984 1581 1226
2.8 1e-07 5000 4982 1645 1251
2.8 2.4e-08 5000 4978 1585 1236
2.8 2.6e-08 5000 4981 1519 1164
2.8 2e-07 5000 4984 1651 1274
2.8 3.5e-08 5000 4987 1565 1198
2.8 3.98107170553e-08 5000 4975 1532 1153
2.8 3e-07 5000 4982 1543 1177
2.8 3e-08 5000 4988 1633 1264
2.8 4e-07 5000 4980 1492 1136
2.8 5.01187233627e-08 5000 4980 1529 1217
2.8 6.3095734448e-08 5000 4981 1610 1269
2.8 7.94328234724e-08 5000 4982 1563 1214
2.9 1.25892541179e-07 5000 4981 1597 1221
2.9 1.5e-07 5000 4981 1587 1249
2.9 2.4e-08 5000 4979 1582 1250
2.9 2.6e-08 5000 4983 1573 1217
2.9 2e-07 4500 4485 1415 1090
2.9 3.5e-08 5000 4979 1621 1248
2.9 3.98107170553e-08 5000 4982 1532 1189
2.9 3e-07 5000 4975 1522 1145
2.9 3e-08 5000 4988 1630 1238
2.9 4e-07 5000 4982 1558 1175
2.9 5.01187233627e-08 5000 4988 1579 1212
2.9 6.3095734448e-08 5000 4976 1628 1193
2.9 7.94328234724e-08 5000 4984 1554 1188
3 1.25892541179e-07 5000 4982 1589 1219
3 1.58489319246e-07 750 748 255 192
3 1.99526231497e-07 5000 4984 1564 1178
3 1e-07 5000 4980 1556 1205
3 1e-07 4308 4297 1357 1035
3 1e-08 2000 1995 608 463
3 2.51188643151e-07 5000 4982 1611 1206
3 3.16227766017e-07 1050 1045 330 245
3 3.16227766017e-08 5000 4988 1629 1210
3 3.98107170553e-08 5000 4985 1645 1236
3 5.01187233627e-08 5000 4982 1488 1152
3 5e-07 3722 3707 1219 936
3 5e-08 3000 2990 1001 750
3 5e-09 4403 4381 1385 1045
3 6.3095734448e-08 5000 4973 1641 1227
3 7.94328234724e-08 5000 4982 1584 1181
3.1 1.25892541179e-07 5000 4987 1543 1189
